ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25785,45,0,profitable
B-25785,192,-146,not profitable
B-25785,26,-25,not profitable
B-25786,1854,433,profitable
B-25786,623,-192,not profitable
B-25786,44,-34,not profitable
B-25786,17,-11,not profitable
B-25787,556,-209,not profitable
B-25787,40,-12,not profitable
B-25787,229,-41,not profitable
B-25787,140,-58,not profitable
B-25788,12,3,profitable
B-25789,30,0,profitable
B-25789,313,-13,not profitable
B-25789,67,-86,not profitable
B-25790,42,-3,not profitable
B-25791,253,-63,not profitable
B-25791,565,66,profitable
B-25791,175,77,profitable
B-25792,74,-25,not profitable
B-25793,40,-33,not profitable
B-25793,63,-24,not profitable
B-25793,60,-12,not profitable
B-25793,257,-252,not profitable
B-25793,24,-1,not profitable
B-25793,18,1,profitable
B-25793,1402,109,profitable
B-25794,176,37,profitable
B-25795,276,-21,not profitable
B-25796,37,-6,not profitable
B-25796,28,1,profitable
B-25796,239,-162,not profitable
B-25796,78,-64,not profitable
B-25796,632,-316,not profitable
B-25796,559,-19,not profitable
B-25796,148,0,profitable
B-25797,976,293,profitable
B-25797,148,-101,not profitable
B-25797,413,-314,not profitable
B-25797,89,-4,not profitable
B-25797,1630,-802,not profitable
B-25797,31,1,profitable
B-25798,379,63,profitable
B-25798,448,148,profitable
B-25798,2830,-1981,not profitable
B-25798,47,-3,not profitable
B-25798,38,-13,not profitable
B-25798,61,-50,not profitable
B-25799,205,-119,not profitable
B-25799,47,-27,not profitable
B-25799,45,-15,not profitable
B-25799,70,-64,not profitable
B-25800,122,-66,not profitable
B-25800,21,-6,not profitable
B-25800,45,12,profitable
B-25801,64,6,profitable
B-25801,49,-31,not profitable
B-25801,21,-10,not profitable
B-25801,15,-2,not profitable
B-25802,27,-7,not profitable
B-25802,633,-633,not profitable
B-25802,13,-9,not profitable
B-25802,23,-3,not profitable
B-25802,95,5,profitable
B-25803,106,12,profitable
B-25803,269,91,profitable
B-25803,536,91,profitable
B-25803,137,5,profitable
B-25803,757,371,profitable
B-25803,511,194,profitable
B-25803,185,48,profitable
B-25803,765,8,profitable
B-25804,156,36,profitable
B-25804,321,26,profitable
B-25805,112,15,profitable
B-25806,632,-114,not profitable
B-25807,16,6,profitable
B-25808,63,17,profitable
B-25808,146,-63,not profitable
B-25808,59,21,profitable
B-25808,210,50,profitable
B-25809,154,54,profitable
B-25809,53,24,profitable
B-25810,26,10,profitable
B-25810,1120,199,profitable
B-25810,45,6,profitable
B-25810,307,74,profitable
B-25810,92,42,profitable
B-25810,29,8,profitable
B-25811,126,52,profitable
B-25812,259,47,profitable
B-25813,911,202,profitable
B-25814,118,35,profitable
B-25814,462,169,profitable
B-25815,35,14,profitable
B-25816,391,113,profitable
B-25817,743,89,profitable
B-25818,75,28,profitable
B-25818,36,0,profitable
B-25818,32,11,profitable
B-25818,94,20,profitable
B-25818,28,14,profitable
B-25819,417,49,profitable
B-25820,119,1,profitable
B-25821,60,21,profitable
B-25821,17,0,profitable
B-25821,125,0,profitable
B-25822,34,13,profitable
B-25823,2103,322,profitable
B-25823,104,2,profitable
B-25823,59,6,profitable
B-25823,103,50,profitable
B-25824,101,38,profitable
B-25825,911,355,profitable
B-25825,115,25,profitable
B-25825,140,6,profitable
B-25826,637,261,profitable
B-25827,156,21,profitable
B-25828,537,107,profitable
B-25828,15,2,profitable
B-25828,128,-3,not profitable
B-25828,222,35,profitable
B-25829,345,38,profitable
B-25830,41,11,profitable
B-25830,54,1,profitable
B-25830,71,0,profitable
B-25830,93,15,profitable
B-25830,1063,64,profitable
B-25830,1954,782,profitable
B-25831,693,254,profitable
B-25832,504,116,profitable
B-25833,64,27,profitable
B-25833,36,4,profitable
B-25833,45,16,profitable
B-25834,16,5,profitable
B-25835,52,11,profitable
B-25835,27,2,profitable
B-25835,155,26,profitable
B-25836,1298,65,profitable
B-25837,263,50,profitable
B-25838,70,26,profitable
B-25838,81,19,profitable
B-25838,955,305,profitable
B-25838,161,40,profitable
B-25839,1250,486,profitable
B-25840,246,61,profitable
B-25840,298,74,profitable
B-25840,262,64,profitable
B-25841,22,11,profitable
B-25842,1543,370,profitable
B-25843,50,7,profitable
B-25843,214,30,profitable
B-25843,255,74,profitable
B-25843,18,6,profitable
B-25843,45,0,profitable
B-25844,86,8,profitable
B-25845,274,-7,not profitable
B-25845,82,33,profitable
B-25845,757,371,profitable
B-25845,132,54,profitable
B-25846,94,7,profitable
B-25847,643,225,profitable
B-25847,264,71,profitable
B-25848,147,21,profitable
B-25848,16,8,profitable
B-25848,648,50,profitable
B-25849,336,123,profitable
B-25850,45,1,profitable
B-25850,93,-1,not profitable
B-25850,52,18,profitable
B-25850,148,24,profitable
B-25850,24,1,profitable
B-25850,513,215,profitable
B-25850,117,36,profitable
B-25850,916,192,profitable
B-25850,485,199,profitable
B-25851,10,2,profitable
B-25851,300,42,profitable
B-25851,57,27,profitable
B-25851,103,46,profitable
B-25851,336,71,profitable
B-25851,53,24,profitable
B-25851,90,29,profitable
